dataset,task_type,partition,metric,aligned_mean_delta,unaligned_mean_delta,aligned_minus_unaligned,relative_effect,relative_effect_pct
bbbp,classification,test,pr_auc,-0.010206607756032956,-0.015487055960157148,0.005280448204124192,0.3409588121660413,34.10%
bbbp,classification,test,roc_auc,-0.046600675111866975,-0.0737433496571072,0.027142674545240227,0.3680694553671428,36.81%
bbbp,classification,val,pr_auc,-0.0003222548405630669,0.005204974447843865,-0.005527229288406932,-1.0619128573621643,-106.19%
bbbp,classification,val,roc_auc,-0.013799268690199281,-0.00458787104227341,-0.009211397647925872,-2.0077717013077563,-200.78%
freesolv,regression,test,mae,0.0575743368528937,0.0625481582340719,-0.0049738213811781964,-0.07951986951501962,-7.95%
freesolv,regression,test,rmse,0.034273946487294205,0.033714715122388474,0.0005592313649057309,0.016587159727604217,1.66%
freesolv,regression,val,mae,0.07077409996274103,0.07208039568477244,-0.0013062957220314059,-0.01812276014332939,-1.81%
freesolv,regression,val,rmse,0.0947917833487003,0.07964203225344385,0.015149751095256445,0.19022306019321028,19.02%
hiv,classification,test,pr_auc,-0.20352891523996672,-0.1745926353024612,-0.028936279937505527,-0.16573597097825363,-16.57%
hiv,classification,test,roc_auc,-0.0855153184708544,-0.06746727841341695,-0.01804804005743746,-0.2675080495591522,-26.75%
hiv,classification,val,pr_auc,-0.15929305981748634,-0.15938363295163327,9.057313414692625e-05,0.0005682712363220612,0.06%
hiv,classification,val,roc_auc,-0.04132827996638522,-0.03578423692942726,-0.005544043036957956,-0.15492975434663517,-15.49%
lipophilicity,regression,test,mae,0.07504265623805499,0.07066160327837558,0.004381052959679416,0.062000474889028455,6.20%
lipophilicity,regression,test,rmse,0.061122893404353985,0.06390340294700213,-0.002780509542648142,-0.04351113421853512,-4.35%
lipophilicity,regression,val,mae,0.1204860966015757,0.12966083722165286,-0.009174740620077157,-0.07075953554420679,-7.08%
lipophilicity,regression,val,rmse,0.14126123514998334,0.15035714670761544,-0.009095911557632091,-0.06049537223075937,-6.05%
solv,regression,test,mae,0.14178328768615064,0.20306289840529446,-0.06127961071914381,-0.3017764997958193,-30.18%
solv,regression,test,rmse,0.18644098814055224,0.23470294134044867,-0.04826195319989643,-0.20562994619607253,-20.56%
solv,regression,val,mae,0.15652022201160332,0.18832657335681602,-0.0318063513452127,-0.1688893435391631,-16.89%
solv,regression,val,rmse,0.1962915892698891,0.22747745248297835,-0.03118586321308925,-0.13709430483191656,-13.71%
